samp	Ct	iSNVCount	iSNVdensity
ID102	34.0 	18	0.621
ID103	37.0 	32	1.103
ID104	34.0 	2	0.069
ID105	35.0 	16	0.552
ID106	34.0 	31	1.069
ID108	20.0 	2	0.069
ID109	32.0 	2	0.069
ID110	36.0 	3	0.103
ID111	32.0 	34	1.172
ID112	27.0 	27	0.931
ID113	22.0 	3	0.103
ID114	32.0 	8	0.276
ID115	24.0 	2	0.069
ID117	19.0 	4	0.138
ID118	33.0 	16	0.552
ID119	32.0 	6	0.207
ID120	31.0 	22	0.759
ID121	31.0 	26	0.897
ID122	20.0 	5	0.172
ID124	30.0 	36	1.241
ID125	20.0 	10	0.345
ID126	27.0 	10	0.345
ID127	28.0 	20	0.69
ID128	34.0 	41	1.414
ID129	27.0 	26	0.897
ID130	24.0 	8	0.276
ID131	22.0 	6	0.207
ID132	28.0 	27	0.931
ID133	24.0 	13	0.448
ID134	30.0 	34	1.172
ID135	32.0 	41	1.414
ID136	28.0 	22	0.759
ID137	28.0 	12	0.414
ID138	27.0 	14	0.483
ID139	25.0 	12	0.414
ID140	26.0 	10	0.345
ID141	30.0 	5	0.172
ID142	21.0 	8	0.276
ID143	19.0 	9	0.31
ID144	37.0 	11	0.379
ID145	26.0 	5	0.172
ID146	28.0 	5	0.172
ID148	30.0 	13	0.448
ID149	26.0 	7	0.241
ID150	24.0 	2	0.069
ID151	16.0 	5	0.172
ID153	35.0 	11	0.379
ID154	26.0 	2	0.069
ID155	16.0 	6	0.207
ID157	17.0 	15	0.517
ID159	25.0 	3	0.103
ID160	29.0 	18	0.621
ID161	33.0 	17	0.586
ID162	35.0 	13	0.448
ID165	26.0 	7	0.241
ID166	31.0 	13	0.448
ID167	24.0 	6	0.207
ID168	30.0 	23	0.793
ID169	23.0 	10	0.345
ID170	24.0 	8	0.276
ID171	24.0 	4	0.138
ID172	27.0 	6	0.207
ID173	24.0 	30	1.034
ID174	30.0 	17	0.586
ID175	23.0 	3	0.103
ID176	19.0 	9	0.31
ID177	32.0 	15	0.517
ID178	21.0 	7	0.241
ID179	26.0 	8	0.276
ID180	23.0 	8	0.276
ID181	32.0 	16	0.552
ID182	29.0 	13	0.448
ID183	24.0 	6	0.207
ID184	36.0 	16	0.552
ID185	32.0 	19	0.655
ID186	33.0 	10	0.345
ID187	16.0 	7	0.241
ID188	24.0 	9	0.31
ID189	32.0 	8	0.276
ID190	29.0 	39	1.345
ID191	26.0 	17	0.586
ID192	33.0 	12	0.414
ID193	23.0 	6	0.207
ID194	25.0 	11	0.379
ID195	32.0 	16	0.552
ID196	26.0 	19	0.655
ID197	23.0 	3	0.103
ID198	22.0 	6	0.207
ID199	25.0 	59	2.034
ID200	24.0 	7	0.241
ID163	17.0 	3	0.103
ID164	17.0 	5	0.172
