snpeffFname	pos	eff	Freq	flag
ID034	5943	share-Nonsyn	0.0529	Nonsyn
ID037	5943	share-Nonsyn	0.0902	Nonsyn
ID145	5943	share-Nonsyn	0.0527	Nonsyn
ID140	5943	share-Nonsyn	0.0713	Nonsyn
ID143	5943	share-Nonsyn	0.0616	Nonsyn
ID149	5943	share-Nonsyn	0.0775	Nonsyn
ID026	5943	share-Nonsyn	0.0672	Nonsyn
ID017	5943	share-Nonsyn	0.0759	Nonsyn
ID016	5943	share-Nonsyn	0.0566	Nonsyn
ID015	5943	share-Nonsyn	0.0506	Nonsyn
ID157	5943	share-Nonsyn	0.2632	Nonsyn
ID154	5943	share-Nonsyn	0.0506	Nonsyn
ID155	5943	share-Nonsyn	0.0544	Nonsyn
ID150	5943	share-Nonsyn	0.0633	Nonsyn
ID159	5943	share-Nonsyn	0.0807	Nonsyn
ID167	5943	share-Nonsyn	0.0712	Nonsyn
ID165	5943	share-Nonsyn	0.1056	Nonsyn
ID178	5943	share-Nonsyn	0.0511	Nonsyn
ID179	5943	share-Nonsyn	0.0553	Nonsyn
ID175	5943	share-Nonsyn	0.065	Nonsyn
ID170	5943	share-Nonsyn	0.0863	Nonsyn
ID171	5943	share-Nonsyn	0.0552	Nonsyn
ID180	5943	share-Nonsyn	0.097	Nonsyn
ID183	5943	share-Nonsyn	0.0586	Nonsyn
ID188	5943	share-Nonsyn	0.1018	Nonsyn
ID193	5943	share-Nonsyn	0.0643	Nonsyn
ID056	5943	share-Nonsyn	0.0886	Nonsyn
ID200	5943	share-Nonsyn	0.0654	Nonsyn
ID127	5943	share-Nonsyn	0.1037	Nonsyn
ID126	5943	share-Nonsyn	0.0617	Nonsyn
ID123	5943	share-Nonsyn	0.0773	Nonsyn
ID129	5943	share-Nonsyn	0.0755	Nonsyn
ID034	6038	share-Nonsyn	0.0569	Nonsyn
ID149	6038	share-Nonsyn	0.1346	Nonsyn
ID167	6038	share-Nonsyn	0.051	Nonsyn
ID179	6038	share-Nonsyn	0.0849	Nonsyn
ID130	6163	share-Nonsyn	0.1266	Nonsyn
ID133	6163	share-Nonsyn	0.1235	Nonsyn
ID136	6163	share-Nonsyn	0.2014	Nonsyn
ID139	6163	share-Nonsyn	0.0521	Nonsyn
ID140	6163	share-Nonsyn	0.1131	Nonsyn
ID143	6163	share-Nonsyn	0.1177	Nonsyn
ID142	6163	share-Nonsyn	0.2382	Nonsyn
ID017	6163	share-Nonsyn	0.1385	Nonsyn
ID165	6163	share-Nonsyn	0.0673	Nonsyn
ID176	6163	share-Nonsyn	0.0718	Nonsyn
ID187	6163	share-Nonsyn	0.0823	Nonsyn
ID127	6163	share-Nonsyn	0.1764	Nonsyn
ID126	6163	share-Nonsyn	0.1146	Nonsyn
ID125	6163	share-Nonsyn	0.1351	Nonsyn
ID130	6168	share-Nonsyn	0.1931	Nonsyn
ID131	6168	share-Nonsyn	0.0643	Nonsyn
ID133	6168	share-Nonsyn	0.2073	Nonsyn
ID136	6168	share-Nonsyn	0.3037	Nonsyn
ID138	6168	share-Nonsyn	0.0558	Nonsyn
ID139	6168	share-Nonsyn	0.0974	Nonsyn
ID032	6168	share-Nonsyn	0.1362	Nonsyn
ID140	6168	share-Nonsyn	0.2563	Nonsyn
ID143	6168	share-Nonsyn	0.375	Nonsyn
ID142	6168	share-Nonsyn	0.415	Nonsyn
ID026	6168	share-Nonsyn	0.1108	Nonsyn
ID017	6168	share-Nonsyn	0.3349	Nonsyn
ID015	6168	share-Nonsyn	0.0716	Nonsyn
ID155	6168	share-Nonsyn	0.0819	Nonsyn
ID165	6168	share-Nonsyn	0.101	Nonsyn
ID178	6168	share-Nonsyn	0.1126	Nonsyn
ID179	6168	share-Nonsyn	0.1304	Nonsyn
ID176	6168	share-Nonsyn	0.1515	Nonsyn
ID180	6168	share-Nonsyn	0.0795	Nonsyn
ID187	6168	share-Nonsyn	0.1469	Nonsyn
ID200	6168	share-Nonsyn	0.0969	Nonsyn
ID127	6168	share-Nonsyn	0.1904	Nonsyn
ID126	6168	share-Nonsyn	0.215	Nonsyn
ID125	6168	share-Nonsyn	0.3653	Nonsyn
ID123	6168	share-Nonsyn	0.1722	Nonsyn
ID013	6566	share-Nonsyn	0.0541	Nonsyn
ID047	6566	share-Nonsyn	0.0588	Nonsyn
ID030	6609	share-Nonsyn	0.0607	Nonsyn
ID028	6609	share-Nonsyn	0.0671	Nonsyn
ID027	6609	share-Nonsyn	0.0675	Nonsyn
ID013	6609	share-Nonsyn	0.0706	Nonsyn
ID012	6609	share-Nonsyn	0.0687	Nonsyn
ID011	6609	share-Nonsyn	0.0673	Nonsyn
ID010	6609	share-Nonsyn	0.071	Nonsyn
ID007	6609	share-Nonsyn	0.0625	Nonsyn
ID009	6609	share-Nonsyn	0.0669	Nonsyn
ID074	6609	share-Nonsyn	0.0624	Nonsyn
ID066	6609	share-Nonsyn	0.0601	Nonsyn
ID064	6609	share-Nonsyn	0.0602	Nonsyn
ID065	6609	share-Nonsyn	0.0705	Nonsyn
ID063	6609	share-Nonsyn	0.0664	Nonsyn
ID061	6609	share-Nonsyn	0.0673	Nonsyn
ID068	6609	share-Nonsyn	0.0678	Nonsyn
ID053	6609	share-Nonsyn	0.0712	Nonsyn
ID050	6609	share-Nonsyn	0.0661	Nonsyn
ID055	6609	share-Nonsyn	0.0613	Nonsyn
ID054	6609	share-Nonsyn	0.068	Nonsyn
ID059	6609	share-Nonsyn	0.0689	Nonsyn
ID058	6609	share-Nonsyn	0.0666	Nonsyn
ID048	6609	share-Nonsyn	0.0688	Nonsyn
ID047	6609	share-Nonsyn	0.0657	Nonsyn
ID027	6990	share-Nonsyn	0.097	Nonsyn
ID013	6990	share-Nonsyn	0.0891	Nonsyn
ID012	6990	share-Nonsyn	0.1311	Nonsyn
ID011	6990	share-Nonsyn	0.1981	Nonsyn
ID010	6990	share-Nonsyn	0.092	Nonsyn
ID007	6990	share-Nonsyn	0.0886	Nonsyn
ID009	6990	share-Nonsyn	0.1117	Nonsyn
ID078	6990	share-Nonsyn	0.0949	Nonsyn
ID074	6990	share-Nonsyn	0.0731	Nonsyn
ID066	6990	share-Nonsyn	0.0638	Nonsyn
ID064	6990	share-Nonsyn	0.1363	Nonsyn
ID065	6990	share-Nonsyn	0.1293	Nonsyn
ID061	6990	share-Nonsyn	0.1473	Nonsyn
ID068	6990	share-Nonsyn	0.1063	Nonsyn
ID053	6990	share-Nonsyn	0.075	Nonsyn
ID050	6990	share-Nonsyn	0.1268	Nonsyn
ID055	6990	share-Nonsyn	0.1153	Nonsyn
ID054	6990	share-Nonsyn	0.0869	Nonsyn
ID112	6990	share-Nonsyn	0.074	Nonsyn
ID059	6990	share-Nonsyn	0.1105	Nonsyn
ID048	6990	share-Nonsyn	0.0924	Nonsyn
ID047	6990	share-Nonsyn	0.1061	Nonsyn
ID132	7569	share-Nonsyn	0.0632	Nonsyn
ID137	7569	share-Nonsyn	0.0972	Nonsyn
ID173	7569	share-Nonsyn	0.0943	Nonsyn
ID132	8322	share-Nonsyn	0.0759	Nonsyn
ID157	8322	share-Nonsyn	0.0595	Nonsyn
ID063	8695	share-Nonsyn	0.0564	Nonsyn
ID054	8695	share-Nonsyn	0.0617	Nonsyn
ID063	8726	share-Nonsyn	0.0584	Nonsyn
ID054	8726	share-Nonsyn	0.0535	Nonsyn
ID055	10787	share-Nonsyn	0.0878	Nonsyn
ID058	10787	share-Nonsyn	0.0782	Nonsyn
ID138	11083	share-Nonsyn	0.1014	Nonsyn
ID030	11083	share-Nonsyn	0.69	Nonsyn
ID032	11083	share-Nonsyn	0.0574	Nonsyn
ID030	11367	share-Nonsyn	0.1053	Nonsyn
ID078	11367	share-Nonsyn	0.0985	Nonsyn
ID112	11367	share-Nonsyn	0.0939	Nonsyn
ID030	11372	share-Nonsyn	0.1173	Nonsyn
ID078	11372	share-Nonsyn	0.1134	Nonsyn
ID112	11372	share-Nonsyn	0.1093	Nonsyn
ID132	11676	share-Nonsyn	0.073	Nonsyn
ID136	11676	share-Nonsyn	0.1395	Nonsyn
ID030	11676	share-Nonsyn	0.0565	Nonsyn
ID196	11676	share-Nonsyn	0.0646	Nonsyn
ID194	11676	share-Nonsyn	0.5953	Nonsyn
ID199	11676	share-Nonsyn	0.0509	Nonsyn
ID129	11676	share-Nonsyn	0.1568	Nonsyn
ID132	12116	share-Nonsyn	0.0753	Nonsyn
ID136	12116	share-Nonsyn	0.074	Nonsyn
ID138	12116	share-Nonsyn	0.0521	Nonsyn
ID030	12116	share-Nonsyn	0.1111	Nonsyn
ID035	12116	share-Nonsyn	0.0799	Nonsyn
ID037	12116	share-Nonsyn	0.1764	Nonsyn
ID016	12116	share-Nonsyn	0.1163	Nonsyn
ID127	12116	share-Nonsyn	0.1097	Nonsyn
ID129	12116	share-Nonsyn	0.144	Nonsyn
ID133	14573	share-Nonsyn	0.0581	Nonsyn
ID137	14573	share-Nonsyn	0.0641	Nonsyn
ID138	14573	share-Nonsyn	0.0519	Nonsyn
ID140	14573	share-Nonsyn	0.0512	Nonsyn
ID143	14573	share-Nonsyn	0.0746	Nonsyn
ID142	14573	share-Nonsyn	0.0646	Nonsyn
ID017	14573	share-Nonsyn	0.0767	Nonsyn
ID016	14573	share-Nonsyn	0.1444	Nonsyn
ID015	14573	share-Nonsyn	0.0546	Nonsyn
ID125	14573	share-Nonsyn	0.055	Nonsyn
ID123	14573	share-Nonsyn	0.0769	Nonsyn
ID132	14578	share-Nonsyn	0.0536	Nonsyn
ID133	14578	share-Nonsyn	0.0721	Nonsyn
ID137	14578	share-Nonsyn	0.0726	Nonsyn
ID138	14578	share-Nonsyn	0.0597	Nonsyn
ID140	14578	share-Nonsyn	0.062	Nonsyn
ID143	14578	share-Nonsyn	0.0848	Nonsyn
ID142	14578	share-Nonsyn	0.0815	Nonsyn
ID017	14578	share-Nonsyn	0.0874	Nonsyn
ID016	14578	share-Nonsyn	0.1666	Nonsyn
ID015	14578	share-Nonsyn	0.0658	Nonsyn
ID127	14578	share-Nonsyn	0.0564	Nonsyn
ID126	14578	share-Nonsyn	0.0575	Nonsyn
ID125	14578	share-Nonsyn	0.0612	Nonsyn
ID123	14578	share-Nonsyn	0.0865	Nonsyn
ID117	15173	share-Nonsyn	0.0544	Nonsyn
ID122	15173	share-Nonsyn	0.0503	Nonsyn
ID078	16271	share-Nonsyn	0.066	Nonsyn
ID112	16271	share-Nonsyn	0.1044	Nonsyn
ID012	16629	share-Nonsyn	0.0617	Nonsyn
ID078	16629	share-Nonsyn	0.0621	Nonsyn
ID112	16629	share-Nonsyn	0.0735	Nonsyn
ID130	17395	share-Nonsyn	0.0987	Nonsyn
ID131	17395	share-Nonsyn	0.0997	Nonsyn
ID132	17395	share-Nonsyn	0.1086	Nonsyn
ID133	17395	share-Nonsyn	0.1097	Nonsyn
ID136	17395	share-Nonsyn	0.165	Nonsyn
ID137	17395	share-Nonsyn	0.171	Nonsyn
ID138	17395	share-Nonsyn	0.1083	Nonsyn
ID139	17395	share-Nonsyn	0.1017	Nonsyn
ID030	17395	share-Nonsyn	0.1054	Nonsyn
ID032	17395	share-Nonsyn	0.0968	Nonsyn
ID035	17395	share-Nonsyn	0.1405	Nonsyn
ID034	17395	share-Nonsyn	0.1081	Nonsyn
ID037	17395	share-Nonsyn	0.1119	Nonsyn
ID145	17395	share-Nonsyn	0.0999	Nonsyn
ID140	17395	share-Nonsyn	0.0789	Nonsyn
ID143	17395	share-Nonsyn	0.1605	Nonsyn
ID142	17395	share-Nonsyn	0.0895	Nonsyn
ID026	17395	share-Nonsyn	0.111	Nonsyn
ID017	17395	share-Nonsyn	0.1012	Nonsyn
ID016	17395	share-Nonsyn	0.1586	Nonsyn
ID015	17395	share-Nonsyn	0.0818	Nonsyn
ID157	17395	share-Nonsyn	0.2367	Nonsyn
ID155	17395	share-Nonsyn	0.0766	Nonsyn
ID151	17395	share-Nonsyn	0.0669	Nonsyn
ID164	17395	share-Nonsyn	0.0583	Nonsyn
ID178	17395	share-Nonsyn	0.0597	Nonsyn
ID179	17395	share-Nonsyn	0.0678	Nonsyn
ID176	17395	share-Nonsyn	0.058	Nonsyn
ID187	17395	share-Nonsyn	0.08	Nonsyn
ID188	17395	share-Nonsyn	0.0621	Nonsyn
ID193	17395	share-Nonsyn	0.0628	Nonsyn
ID197	17395	share-Nonsyn	0.0536	Nonsyn
ID198	17395	share-Nonsyn	0.0619	Nonsyn
ID056	17395	share-Nonsyn	0.0826	Nonsyn
ID200	17395	share-Nonsyn	0.1147	Nonsyn
ID127	17395	share-Nonsyn	0.1225	Nonsyn
ID126	17395	share-Nonsyn	0.1226	Nonsyn
ID125	17395	share-Nonsyn	0.0912	Nonsyn
ID123	17395	share-Nonsyn	0.2128	Nonsyn
ID129	17395	share-Nonsyn	0.2857	Nonsyn
ID130	17399	share-Nonsyn	0.1007	Nonsyn
ID131	17399	share-Nonsyn	0.1027	Nonsyn
ID132	17399	share-Nonsyn	0.111	Nonsyn
ID133	17399	share-Nonsyn	0.1131	Nonsyn
ID136	17399	share-Nonsyn	0.1695	Nonsyn
ID137	17399	share-Nonsyn	0.1728	Nonsyn
ID138	17399	share-Nonsyn	0.1107	Nonsyn
ID139	17399	share-Nonsyn	0.1023	Nonsyn
ID030	17399	share-Nonsyn	0.1108	Nonsyn
ID032	17399	share-Nonsyn	0.0996	Nonsyn
ID035	17399	share-Nonsyn	0.1441	Nonsyn
ID034	17399	share-Nonsyn	0.1102	Nonsyn
ID037	17399	share-Nonsyn	0.1124	Nonsyn
ID145	17399	share-Nonsyn	0.1039	Nonsyn
ID140	17399	share-Nonsyn	0.0804	Nonsyn
ID143	17399	share-Nonsyn	0.1651	Nonsyn
ID142	17399	share-Nonsyn	0.091	Nonsyn
ID026	17399	share-Nonsyn	0.111	Nonsyn
ID017	17399	share-Nonsyn	0.1031	Nonsyn
ID016	17399	share-Nonsyn	0.1626	Nonsyn
ID015	17399	share-Nonsyn	0.0829	Nonsyn
ID157	17399	share-Nonsyn	0.2422	Nonsyn
ID155	17399	share-Nonsyn	0.0786	Nonsyn
ID151	17399	share-Nonsyn	0.0667	Nonsyn
ID164	17399	share-Nonsyn	0.0611	Nonsyn
ID178	17399	share-Nonsyn	0.064	Nonsyn
ID179	17399	share-Nonsyn	0.069	Nonsyn
ID176	17399	share-Nonsyn	0.0585	Nonsyn
ID187	17399	share-Nonsyn	0.0815	Nonsyn
ID188	17399	share-Nonsyn	0.064	Nonsyn
ID193	17399	share-Nonsyn	0.0633	Nonsyn
ID191	17399	share-Nonsyn	0.0511	Nonsyn
ID197	17399	share-Nonsyn	0.0541	Nonsyn
ID198	17399	share-Nonsyn	0.063	Nonsyn
ID056	17399	share-Nonsyn	0.0864	Nonsyn
ID200	17399	share-Nonsyn	0.1179	Nonsyn
ID127	17399	share-Nonsyn	0.1273	Nonsyn
ID126	17399	share-Nonsyn	0.1234	Nonsyn
ID125	17399	share-Nonsyn	0.0921	Nonsyn
ID123	17399	share-Nonsyn	0.2173	Nonsyn
ID129	17399	share-Nonsyn	0.2908	Nonsyn
ID132	18028	share-Nonsyn	0.0534	Nonsyn
ID129	18028	share-Nonsyn	0.1033	Nonsyn
ID078	18197	share-Nonsyn	0.0528	Nonsyn
ID112	18197	share-Nonsyn	0.0531	Nonsyn
ID132	18889	share-Nonsyn	0.0885	Nonsyn
ID016	18889	share-Nonsyn	0.0727	Nonsyn
ID157	18889	share-Nonsyn	0.0618	Nonsyn
ID151	18889	share-Nonsyn	0.0806	Nonsyn
ID163	18889	share-Nonsyn	0.0671	Nonsyn
ID165	18889	share-Nonsyn	0.062	Nonsyn
ID164	18889	share-Nonsyn	0.0533	Nonsyn
ID178	18889	share-Nonsyn	0.0503	Nonsyn
ID179	18889	share-Nonsyn	0.0533	Nonsyn
ID176	18889	share-Nonsyn	0.0839	Nonsyn
ID187	18889	share-Nonsyn	0.0901	Nonsyn
ID028	19129	share-Nonsyn	0.0641	Nonsyn
ID027	19129	share-Nonsyn	0.0585	Nonsyn
ID013	19129	share-Nonsyn	0.0568	Nonsyn
ID012	19129	share-Nonsyn	0.0578	Nonsyn
ID011	19129	share-Nonsyn	0.056	Nonsyn
ID010	19129	share-Nonsyn	0.0562	Nonsyn
ID009	19129	share-Nonsyn	0.0557	Nonsyn
ID074	19129	share-Nonsyn	0.0534	Nonsyn
ID066	19129	share-Nonsyn	0.0528	Nonsyn
ID064	19129	share-Nonsyn	0.053	Nonsyn
ID065	19129	share-Nonsyn	0.0566	Nonsyn
ID063	19129	share-Nonsyn	0.0587	Nonsyn
ID061	19129	share-Nonsyn	0.0542	Nonsyn
ID068	19129	share-Nonsyn	0.0557	Nonsyn
ID053	19129	share-Nonsyn	0.0594	Nonsyn
ID050	19129	share-Nonsyn	0.053	Nonsyn
ID055	19129	share-Nonsyn	0.0555	Nonsyn
ID054	19129	share-Nonsyn	0.053	Nonsyn
ID059	19129	share-Nonsyn	0.0517	Nonsyn
ID058	19129	share-Nonsyn	0.0581	Nonsyn
ID048	19129	share-Nonsyn	0.0537	Nonsyn
ID047	19129	share-Nonsyn	0.0619	Nonsyn
ID030	19741	share-Nonsyn	0.0517	Nonsyn
ID010	19741	share-Nonsyn	0.0666	Nonsyn
ID063	19741	share-Nonsyn	0.0538	Nonsyn
ID028	21530	share-Nonsyn	0.0509	Nonsyn
ID065	21530	share-Nonsyn	0.0537	Nonsyn
ID028	21541	share-Nonsyn	0.0615	Nonsyn
ID007	21541	share-Nonsyn	0.0558	Nonsyn
ID054	21541	share-Nonsyn	0.0606	Nonsyn
ID028	21549	share-Nonsyn	0.054	Nonsyn
ID053	21549	share-Nonsyn	0.0588	Nonsyn
ID030	23403	share-Nonsyn	0.6609	Nonsyn
ID032	23403	share-Nonsyn	0.9239	Nonsyn
ID035	23403	share-Nonsyn	0.1706	Nonsyn
ID191	23403	share-Nonsyn	0.7677	Nonsyn
ID078	25507	share-Nonsyn	0.0968	Nonsyn
ID112	25507	share-Nonsyn	0.0777	Nonsyn
ID130	25563	share-Nonsyn	0.4063	Nonsyn
ID132	25563	share-Nonsyn	0.6574	Nonsyn
ID133	25563	share-Nonsyn	0.4216	Nonsyn
ID136	25563	share-Nonsyn	0.604	Nonsyn
ID137	25563	share-Nonsyn	0.3437	Nonsyn
ID138	25563	share-Nonsyn	0.4251	Nonsyn
ID139	25563	share-Nonsyn	0.2435	Nonsyn
ID030	25563	share-Nonsyn	0.911	Nonsyn
ID032	25563	share-Nonsyn	0.0761	Nonsyn
ID035	25563	share-Nonsyn	0.5059	Nonsyn
ID034	25563	share-Nonsyn	0.1441	Nonsyn
ID037	25563	share-Nonsyn	0.9192	Nonsyn
ID140	25563	share-Nonsyn	0.1131	Nonsyn
ID142	25563	share-Nonsyn	0.1306	Nonsyn
ID016	25563	share-Nonsyn	0.9112	Nonsyn
ID015	25563	share-Nonsyn	0.2389	Nonsyn
ID056	25563	share-Nonsyn	0.1121	Nonsyn
ID127	25563	share-Nonsyn	0.6521	Nonsyn
ID126	25563	share-Nonsyn	0.2704	Nonsyn
ID129	25563	share-Nonsyn	0.7548	Nonsyn
ID191	25855	share-Nonsyn	0.3106	Nonsyn
ID199	25855	share-Nonsyn	0.0632	Nonsyn
ID027	26137	share-Nonsyn	0.0591	Nonsyn
ID013	26137	share-Nonsyn	0.067	Nonsyn
ID011	26137	share-Nonsyn	0.096	Nonsyn
ID010	26137	share-Nonsyn	0.0638	Nonsyn
ID007	26137	share-Nonsyn	0.101	Nonsyn
ID009	26137	share-Nonsyn	0.0689	Nonsyn
ID074	26137	share-Nonsyn	0.0867	Nonsyn
ID066	26137	share-Nonsyn	0.1	Nonsyn
ID065	26137	share-Nonsyn	0.0538	Nonsyn
ID063	26137	share-Nonsyn	0.1463	Nonsyn
ID061	26137	share-Nonsyn	0.0526	Nonsyn
ID068	26137	share-Nonsyn	0.055	Nonsyn
ID055	26137	share-Nonsyn	0.0701	Nonsyn
ID054	26137	share-Nonsyn	0.0735	Nonsyn
ID059	26137	share-Nonsyn	0.0748	Nonsyn
ID048	26137	share-Nonsyn	0.0755	Nonsyn
ID047	26137	share-Nonsyn	0.0603	Nonsyn
ID009	26715	share-Nonsyn	0.0536	Nonsyn
ID108	26715	share-Nonsyn	0.2802	Nonsyn
ID068	26715	share-Nonsyn	0.0723	Nonsyn
ID113	26715	share-Nonsyn	0.1202	Nonsyn
ID059	26715	share-Nonsyn	0.1576	Nonsyn
ID115	26715	share-Nonsyn	0.1042	Nonsyn
ID078	26967	share-Nonsyn	0.0635	Nonsyn
ID112	26967	share-Nonsyn	0.0817	Nonsyn
ID078	27286	share-Nonsyn	0.163	Nonsyn
ID112	27286	share-Nonsyn	0.178	Nonsyn
ID149	27934	share-Nonsyn	0.0806	Nonsyn
ID157	27934	share-Nonsyn	0.0863	Nonsyn
ID030	28311	share-Nonsyn	0.2965	Nonsyn
ID032	28311	share-Nonsyn	0.0636	Nonsyn
ID016	28311	share-Nonsyn	0.0614	Nonsyn
ID030	28368	share-Nonsyn	0.0507	Nonsyn
ID028	28368	share-Nonsyn	0.8922	Nonsyn
ID193	28368	share-Nonsyn	0.0778	Nonsyn
ID117	29039	share-Nonsyn	0.0671	Nonsyn
ID122	29039	share-Nonsyn	0.0588	Nonsyn
ID030	29126	share-Nonsyn	0.4495	Nonsyn
ID037	29126	share-Nonsyn	0.1993	Nonsyn
ID194	29126	share-Nonsyn	0.5455	Nonsyn
ID127	29126	share-Nonsyn	0.251	Nonsyn
ID129	29126	share-Nonsyn	0.1841	Nonsyn
ID146	29175	share-Nonsyn	0.5822	Nonsyn
ID016	29175	share-Nonsyn	0.1058	Nonsyn
ID191	29175	share-Nonsyn	0.3006	Nonsyn
ID199	29175	share-Nonsyn	0.0581	Nonsyn
ID078	29434	share-Nonsyn	0.0576	Nonsyn
ID048	29434	share-Nonsyn	0.0519	Nonsyn
ID143	347	single-Nonsyn	0.0771	Nonsyn
ID196	388	single-Nonsyn	0.0632	Nonsyn
ID196	441	single-Nonsyn	0.0735	Nonsyn
ID183	501	single-Nonsyn	0.0551	Nonsyn
ID064	508	single-Nonsyn	0.0503	Nonsyn
ID199	526	single-Nonsyn	0.06	Nonsyn
ID157	777	single-Nonsyn	0.0973	Nonsyn
ID173	846	single-Nonsyn	0.0652	Nonsyn
ID030	1021	single-Nonsyn	0.0536	Nonsyn
ID053	1100	single-Nonsyn	0.1273	Nonsyn
ID129	1157	single-Nonsyn	0.0522	Nonsyn
ID194	1191	single-Nonsyn	0.0915	Nonsyn
ID199	1193	single-Nonsyn	0.0862	Nonsyn
ID016	1274	single-Nonsyn	0.1083	Nonsyn
ID199	1406	single-Nonsyn	0.0885	Nonsyn
ID032	1440	single-Nonsyn	0.4614	Nonsyn
ID030	1733	single-Nonsyn	0.1727	Nonsyn
ID173	1845	single-Nonsyn	0.375	Nonsyn
ID199	1862	single-Nonsyn	0.1589	Nonsyn
ID127	1941	single-Nonsyn	0.0535	Nonsyn
ID068	1955	single-Nonsyn	0.1642	Nonsyn
ID078	2388	single-Nonsyn	0.1129	Nonsyn
ID199	2424	single-Nonsyn	0.1327	Nonsyn
ID139	2445	single-Nonsyn	0.0697	Nonsyn
ID140	2516	single-Nonsyn	0.0625	Nonsyn
ID058	2660	single-Nonsyn	0.0833	Nonsyn
ID058	2681	single-Nonsyn	0.0801	Nonsyn
ID058	2684	single-Nonsyn	0.0604	Nonsyn
ID191	2717	single-Nonsyn	0.1185	Nonsyn
ID032	2891	single-Nonsyn	0.5335	Nonsyn
ID127	2973	single-Nonsyn	0.057	Nonsyn
ID016	3236	single-Nonsyn	0.108	Nonsyn
ID112	3243	single-Nonsyn	0.1246	Nonsyn
ID173	3623	single-Nonsyn	0.2391	Nonsyn
ID132	3624	single-Nonsyn	0.0902	Nonsyn
ID058	3644	single-Nonsyn	0.0847	Nonsyn
ID169	3653	single-Nonsyn	0.0562	Nonsyn
ID199	3782	single-Nonsyn	0.1948	Nonsyn
ID030	3867	single-Nonsyn	0.1834	Nonsyn
ID199	3950	single-Nonsyn	0.1007	Nonsyn
ID074	3977	single-Nonsyn	0.0507	Nonsyn
ID054	4007	single-Nonsyn	0.0526	Nonsyn
ID030	4131	single-Nonsyn	0.0505	Nonsyn
ID199	4263	single-Nonsyn	0.0806	Nonsyn
ID173	4280	single-Nonsyn	0.219	Nonsyn
ID199	4412	single-Nonsyn	0.0726	Nonsyn
ID176	4467	single-Nonsyn	0.0593	Nonsyn
ID199	4487	single-Nonsyn	0.0653	Nonsyn
ID199	4504	single-Nonsyn	0.0687	Nonsyn
ID199	4807	single-Nonsyn	0.0696	Nonsyn
ID056	4912	single-Nonsyn	0.3451	Nonsyn
ID016	4962	single-Nonsyn	0.1886	Nonsyn
ID078	5079	single-Nonsyn	0.0592	Nonsyn
ID016	5118	single-Nonsyn	0.0527	Nonsyn
ID136	5225	single-Nonsyn	0.0658	Nonsyn
ID136	5463	single-Nonsyn	0.0675	Nonsyn
ID016	5751	single-Nonsyn	0.1043	Nonsyn
ID058	5936	single-Nonsyn	0.0961	Nonsyn
ID172	6037	single-Nonsyn	0.0757	Nonsyn
